IoT,Fecha,Hora,Temperatura,Humedad,Presion_Atmosferica,Intensidad_Luz,Viento,UV
4_7CL,27/10/2023,08:36:02 PM,21,76,85227.07,0,NaN,0
4_7CL,27/10/2023,08:41:10 PM,21,76,85221.52,0,NaN,0
4_7CL,27/10/2023,08:46:19 PM,21,76,85231.13,0,NaN,0
4_7CL,27/10/2023,08:51:28 PM,21,78,85228.53,0,NaN,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:15:04,28,53,1030,1156,10,10
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:20:54,29,53,1001,1135,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:26:37,29,53,1030,1265,12,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:32:20,29,53,1003,1081,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:38:03,29,53,1022,1240,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:43:46,29,53,1020,1295,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:49:30,29,53,1016,1131,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,21:55:13,29,53,1027,1075,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:00:56,28,53,1013,1194,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:06:40,28,53,1026,1082,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:15:33,28,54,1009,1062,12,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:21:16,29,54,1001,1200,12,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:24:19,29,54,1003,1256,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:24:19,29,54,1003,1256,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:30:02,29,54,1002,1179,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:30:02,29,54,1002,1179,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:35:45,29,54,1016,1037,12,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:41:28,29,54,1001,1000,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:47:11,29,54,1009,1082,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:52:54,28,54,1014,1299,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,22:58:36,28,54,1017,1022,12,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:00:09,28,54,1016,1092,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:05:52,28,54,1004,1239,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:11:35,29,54,1022,1150,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:17:17,28,54,1028,1036,10,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:23:00,29,54,1022,1241,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:28:43,28,54,1008,1210,11,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:34:26,28,54,1014,1065,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:40:08,28,54,1025,1255,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:45:51,28,54,1030,1171,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:51:34,28,54,1007,1121,13,0
Estacion_2_Villa_Nueva_Zona_12,27/10/2023,23:57:17,28,54,1002,1066,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:03:00,28,54,1016,1029,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:08:42,28,54,1016,1228,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:14:25,29,54,1018,1110,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:20:08,28,54,1011,1013,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:25:51,28,54,1006,1290,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:31:33,28,54,1027,1014,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:36:02,28,54,1001,1100,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:41:46,28,54,1024,1022,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:47:29,27,54,1022,1163,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:53:12,27,55,1015,1078,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,00:58:55,27,54,1005,1059,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:04:38,28,54,1027,1279,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:10:21,28,54,1027,1242,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:16:04,28,54,1028,1115,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:21:50,28,54,1019,1085,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:27:46,28,54,1023,1205,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:33:34,28,54,1007,1246,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:39:27,28,54,1003,1081,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:45:10,28,54,1017,1204,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:50:55,28,54,1010,1195,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,01:56:40,28,54,1001,1056,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:02:25,28,54,1012,1163,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:08:08,28,55,1025,1188,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:13:51,28,55,1030,1037,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:19:34,28,54,1016,1017,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:25:17,28,54,1024,1075,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:31:00,28,54,1007,1258,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,02:36:43,28,54,1029,1094,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,12:37:10,29,52,1004,1097,12,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,12:42:53,29,52,1013,1242,12,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,12:48:36,29,53,1023,1237,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,12:54:26,28,52,1014,1041,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:00:09,28,52,1009,1165,11,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:05:58,27,53,1005,1226,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:11:41,27,53,1003,1001,11,0
1_13SF,2810,131648,24.89,64.0,85903.45,2715.0,0.0,NaN
1_13SF,2810,131701,24.87,64.0,85902.71,2731.0,0.0,NaN
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:17:24,27,54,1018,1041,10,0
1_13SF,2810,132126,24.92,64.0,85887.76,2715.0,0.0,NaN
1_13SF,2810,132204,24.91,65.0,85891.49,2739.0,0.0,NaN
1_13SF,2810,132217,24.87,65.0,85893.77,2715.0,0.0,NaN
1_13SF,2810,132231,24.87,65.0,85884.07,2732.0,0.0,NaN
1_13SF,2810,132244,24.87,65.0,85887.05,2741.0,0.0,NaN
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:23:07,27,54,1026,1249,13,0
1_13SF,2810,132257,24.86,65.0,85883.32,2730.0,0.0,NaN
1_13SF,2810,132311,24.87,65.0,85879.59,2738.0,0.0,NaN
1_13SF,2810,132324,24.87,65.0,85890.79,2727.0,0.0,NaN
1_13SF,2810,132337,24.86,65.0,85890.78,2732.0,0.0,NaN
1_13SF,2810,132350,24.86,65.0,85878.49,2738.0,0.0,NaN
1_13SF,2810,132404,24.86,65.0,85883.32,2742.0,0.0,NaN
1_13SF,2810,132417,24.87,65.0,85884.07,2722.0,0.0,NaN
1_13SF,2810,132637,24.89,64.0,85882.92,2690.0,0.0,NaN
1_13SF,2810,132650,24.87,64.0,85879.59,2690.0,0.0,NaN
1_13SF,2810,132703,24.87,64.0,85876.6,2678.0,0.0,NaN
1_13SF,2810,132717,24.86,64.0,85878.85,2663.0,0.0,NaN
1_13SF,2810,132730,24.87,64.0,85872.88,2676.0,0.0,NaN
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:28:52,26,54,1025,1188,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:34:35,27,54,1012,1145,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28,13:36:52,27,53,1030,1248,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,13:40:19,27,53,1029,1039,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,13:46:01,28,52,1017,1005,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,13:51:44,28,52,1008,1219,10,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:53:23,28,52,1026,1194,13,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,13:59:08,28,52,1005,1269,12,0
Estacion_2_Villa_Nueva_Zona_12,28/10/2023,14:04:51,28,52,1005,1194,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:10:19,28,51,1023,1058,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:16:02,28,51,1023,1144,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:21:45,28,51,1016,1164,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:27:28,28,51,1011,1017,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:33:11,28,51,1022,1011,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:38:54,28,51,1000,1140,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:44:36,28,51,1002,1063,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:50:19,28,52,1002,1189,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,14:56:02,28,52,1007,1123,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:01:45,28,52,1014,1134,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:07:28,28,52,1030,1013,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:13:11,27,53,1021,1166,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:18:54,27,53,1013,1193,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:24:36,27,53,1007,1097,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:30:19,27,53,1027,1085,11,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:36:02,28,52,1018,1279,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:41:45,28,52,1004,1287,10,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:47:27,28,52,1023,1131,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:53:10,29,52,1017,1041,12,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,15:58:53,29,52,1016,1147,13,0
Estacion_2_Villa_Nueva_Zona_12,10/28/2023,16:04:36,29,52,1024,1043,10,0
